C/A,UNIT,SCP,STATION, LINENAME, DIVISION, DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A030,R083,01-03-02,23 ST,NRW,BMT,05/27/2017,00:00:00,REGULAR,0008634126,0002581740                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/27/2017,04:00:00,REGULAR,0008634210,0002581756                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/27/2017,08:00:00,REGULAR,0008634240,0002581809                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/27/2017,12:00:00,REGULAR,0008634445,0002582024                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/27/2017,16:00:00,REGULAR,0008635011,0002582240                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/27/2017,20:00:00,REGULAR,0008635583,0002582410                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/28/2017,00:00:00,REGULAR,0008635994,0002582507                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/28/2017,04:00:00,REGULAR,0008636055,0002582520                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/28/2017,08:00:00,REGULAR,0008636087,0002582554                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/28/2017,12:00:00,REGULAR,0008636250,0002582711                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/28/2017,16:00:00,REGULAR,0008636711,0002582888                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/28/2017,20:00:00,REGULAR,0008637308,0002583020                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/29/2017,00:00:00,REGULAR,0008637631,0002583086                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/29/2017,04:00:00,REGULAR,0008637678,0002583093                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/29/2017,08:00:00,REGULAR,0008637700,0002583126                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/29/2017,12:00:00,REGULAR,0008637808,0002583259                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/29/2017,16:00:00,REGULAR,0008638155,0002583397                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/29/2017,20:00:00,REGULAR,0008638636,0002583500                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/30/2017,00:00:00,REGULAR,0008638947,0002583552                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/30/2017,04:00:00,REGULAR,0008638987,0002583558                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/30/2017,08:00:00,REGULAR,0008639091,0002583704                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/30/2017,12:00:00,REGULAR,0008639622,0002584255                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/30/2017,16:00:00,REGULAR,0008640471,0002584499                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/30/2017,20:00:00,REGULAR,0008642119,0002584664                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/31/2017,00:00:00,REGULAR,0008642700,0002584702                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/31/2017,04:00:00,REGULAR,0008642767,0002584706                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/31/2017,08:00:00,REGULAR,0008642883,0002584854                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/31/2017,12:00:00,REGULAR,0008643431,0002585419                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/31/2017,16:00:00,REGULAR,0008644186,0002585616                                                
A030,R083,01-03-02,23 ST,NRW,BMT,05/31/2017,20:00:00,REGULAR,0008645789,0002585841                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/01/2017,00:00:00,REGULAR,0008646486,0002585903                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/01/2017,04:00:00,REGULAR,0008646563,0002585907                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/01/2017,08:00:00,REGULAR,0008646687,0002586045                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/01/2017,12:00:00,REGULAR,0008647312,0002586634                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/01/2017,16:00:00,REGULAR,0008648186,0002586857                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/01/2017,20:00:00,REGULAR,0008649825,0002587104                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/02/2017,00:00:00,REGULAR,0008650585,0002587155                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/02/2017,04:00:00,REGULAR,0008650665,0002587165                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/02/2017,08:00:00,REGULAR,0008650776,0002587306                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/02/2017,12:00:00,REGULAR,0008651385,0002587810                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/02/2017,16:00:00,REGULAR,0008652252,0002588034                                                
A030,R083,01-03-02,23 ST,NRW,BMT,06/02/2017,20:00:00,REGULAR,0008653671,0002588236                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/27/2017,00:00:00,REGULAR,0007253544,0003949255                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/27/2017,04:00:00,REGULAR,0007253586,0003949263                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/27/2017,08:00:00,REGULAR,0007253603,0003949273                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/27/2017,12:00:00,REGULAR,0007253692,0003949375                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/27/2017,16:00:00,REGULAR,0007253862,0003949547                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/27/2017,20:00:00,REGULAR,0007254075,0003949712                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/28/2017,00:00:00,REGULAR,0007254211,0003949812                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/28/2017,04:00:00,REGULAR,0007254251,0003949829                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/28/2017,08:00:00,REGULAR,0007254268,0003949842                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/28/2017,12:00:00,REGULAR,0007254313,0003949903                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/28/2017,16:00:00,REGULAR,0007254418,0003950005                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/28/2017,20:00:00,REGULAR,0007254614,0003950176                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/29/2017,00:00:00,REGULAR,0007254705,0003950233                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/29/2017,04:00:00,REGULAR,0007254709,0003950238                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/29/2017,08:00:00,REGULAR,0007254710,0003950255                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/29/2017,12:00:00,REGULAR,0007254746,0003950364                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/29/2017,16:00:00,REGULAR,0007254893,0003950509                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/29/2017,20:00:00,REGULAR,0007255088,0003950654                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/30/2017,00:00:00,REGULAR,0007255204,0003950699                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/30/2017,04:00:00,REGULAR,0007255214,0003950701                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/30/2017,08:00:00,REGULAR,0007255318,0003950758                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/30/2017,12:00:00,REGULAR,0007255759,0003951036                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/30/2017,16:00:00,REGULAR,0007256185,0003951293                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/30/2017,20:00:00,REGULAR,0007257174,0003951579                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/31/2017,00:00:00,REGULAR,0007257505,0003951641                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/31/2017,04:00:00,REGULAR,0007257530,0003951643                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/31/2017,08:00:00,REGULAR,0007257656,0003951704                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/31/2017,12:00:00,REGULAR,0007258135,0003952039                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/31/2017,16:00:00,REGULAR,0007258571,0003952270                                                
A030,R083,01-06-00,23 ST,NRW,BMT,05/31/2017,20:00:00,REGULAR,0007259443,0003952520                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/01/2017,00:00:00,REGULAR,0007259806,0003952577                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/01/2017,04:00:00,REGULAR,0007259848,0003952583                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/01/2017,08:00:00,REGULAR,0007259952,0003952632                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/01/2017,12:00:00,REGULAR,0007260389,0003952939                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/01/2017,16:00:00,REGULAR,0007260845,0003953161                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/01/2017,20:00:00,REGULAR,0007261762,0003953424                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/02/2017,00:00:00,REGULAR,0007262115,0003953490                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/02/2017,04:00:00,REGULAR,0007262154,0003953499                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/02/2017,08:00:00,REGULAR,0007262257,0003953543                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/02/2017,12:00:00,REGULAR,0007262691,0003953788                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/02/2017,16:00:00,REGULAR,0007263187,0003954028                                                
A030,R083,01-06-00,23 ST,NRW,BMT,06/02/2017,20:00:00,REGULAR,0007264023,0003954288                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/27/2017,00:00:00,REGULAR,0084982528,0000700749                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/27/2017,04:00:00,REGULAR,0084982543,0000700755                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/27/2017,08:00:00,REGULAR,0084982545,0000700763                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/27/2017,12:00:00,REGULAR,0084982595,0000700825                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/27/2017,16:00:00,REGULAR,0084982725,0000700962                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/27/2017,20:00:00,REGULAR,0084982895,0000701067                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/28/2017,00:00:00,REGULAR,0084982983,0000701114                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/28/2017,04:00:00,REGULAR,0084983000,0000701121                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/28/2017,08:00:00,REGULAR,0084983002,0000701134                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/28/2017,12:00:00,REGULAR,0084983041,0000701182                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/28/2017,16:00:00,REGULAR,0084983127,0000701258                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/28/2017,20:00:00,REGULAR,0084983270,0000701366                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/29/2017,00:00:00,REGULAR,0084983365,0000701403                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/29/2017,04:00:00,REGULAR,0084983388,0000701405                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/29/2017,08:00:00,REGULAR,0084983400,0000701413                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/29/2017,12:00:00,REGULAR,0084983450,0000701463                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/29/2017,16:00:00,REGULAR,0084983532,0000701557                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/29/2017,20:00:00,REGULAR,0084983665,0000701638                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/30/2017,00:00:00,REGULAR,0084983727,0000701658                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/30/2017,04:00:00,REGULAR,0084983731,0000701662                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/30/2017,08:00:00,REGULAR,0084983768,0000701717                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/30/2017,12:00:00,REGULAR,0084983973,0000702012                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/30/2017,16:00:00,REGULAR,0084984280,0000702174                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/30/2017,20:00:00,REGULAR,0084985010,0000702375                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/31/2017,00:00:00,REGULAR,0084985179,0000702407                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/31/2017,04:00:00,REGULAR,0084985191,0000702413                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/31/2017,08:00:00,REGULAR,0084985234,0000702490                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/31/2017,12:00:00,REGULAR,0084985459,0000702809                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/31/2017,16:00:00,REGULAR,0084985778,0000702984                                                
A030,R083,01-06-01,23 ST,NRW,BMT,05/31/2017,20:00:00,REGULAR,0084986531,0000703206                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/01/2017,00:00:00,REGULAR,0084986725,0000703254                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/01/2017,04:00:00,REGULAR,0084986737,0000703259                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/01/2017,08:00:00,REGULAR,0084986783,0000703318                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/01/2017,12:00:00,REGULAR,0084987047,0000703639                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/01/2017,16:00:00,REGULAR,0084987428,0000703838                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/01/2017,20:00:00,REGULAR,0084988108,0000704076                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/02/2017,00:00:00,REGULAR,0084988302,0000704129                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/02/2017,04:00:00,REGULAR,0084988319,0000704130                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/02/2017,08:00:00,REGULAR,0084988355,0000704191                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/02/2017,12:00:00,REGULAR,0084988577,0000704519                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/02/2017,16:00:00,REGULAR,0084988956,0000704707                                                
A030,R083,01-06-01,23 ST,NRW,BMT,06/02/2017,20:00:00,REGULAR,0084989622,0000704916                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/27/2017,00:00:00,REGULAR,0005615831,0002800137                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/27/2017,04:00:00,REGULAR,0005615926,0002800152                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/27/2017,08:00:00,REGULAR,0005615955,0002800181                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/27/2017,12:00:00,REGULAR,0005616127,0002800316                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/27/2017,16:00:00,REGULAR,0005616586,0002800505                                                
A031,R083,00-00-00,23 ST,NRW,BMT,05/27/2017,20:00:00,REGULAR,0005617012,0002800691                                                
